22.201	114.027
22.2094	114.255
22.248	114.171
21.822	113.957
22.2184	114.2142
22.2091	114.2532
22.184	114.301
22.102	114.025
21.5875	116.1567
22.1	114.0267
21.83	111.96
21.73	112.76
21.548	112.187
21.85	113.167
21.95	113.267
21.933	113.717
22.1278	113.8219
22.0219	113.3853
22.2047	113.4139
22.0289	113.2342
22.0611	113.145
22.2419	113.5886
22.1353	113.3525
22.2258	113.5406
22.1342	113.4836
22.1769	113.4942
21.9956	113.1581
22.0217	113.723
21.869	114.011
22.1633	113.3617
22.2055	113.5724
22.1581	113.8186
22.0464	114.2856
22.2175	113.4139
21.6497	112.5797
21.5667	111.8833
21.6667	111.9314
21.6497	111.76
21.7903	112.0975
21.5753	111.3778
21.5875	116.1567
22.2264	113.6061
22.2461	113.6394
21.612	112.764
21.4647	111.0642
21.868	112.926
