model_name,model_type,horiz_res_deg,vert_levels,time_step_h,sypd,hardware,hardware_count,accelerators_per_node_assumed,n_accelerators,prognostic_vars,number_param,source,Comments,sypd/(n_accelerators*n_prog*n_lev),T,dx^2 * dt,n_prognostic*n_lev/((dx)^2),n_prognostic*n_lev/(dt*(dx)^2)
ICON_A_GPU,trad,0.05,191,0.01111111111,0.133744011,"Piz Daint node (1×P100 GPU per compute node, 1 MPI process per GPU)",1024,1,1024,9,0,https://gmd.copernicus.org/articles/15/6985/2022/gmd-15-6985-2022.html,,7.60E-08,2.25E-01,0.00002777777778,687600,61884000
ICON_A_GPU,trad,0.05,191,0.01111111111,0.3641341547,"JUWELS Booster node ( 4×A100 GPU per compute node, 1 MPI process per GPU)",128,4,512,9,0,https://gmd.copernicus.org/articles/15/6985/2022/gmd-15-6985-2022.html,,4.14E-07,1.22E+00,0.00002777777778,687600,61884000
ICON_A_GPU,trad,0.05,191,0.01111111111,0.5804243669,"JUWELS Booster node ( 4×A100 GPU per compute node, 1 MPI process per GPU)",256,4,1024,9,0,https://gmd.copernicus.org/articles/15/6985/2022/gmd-15-6985-2022.html,,3.30E-07,9.74E-01,0.00002777777778,687600,61884000
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,0,,
CliMA,hybrid,1,43,0.01111111111,2.51,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),1,4,4,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.22E-03,3.24E+02,0.01111111111,516,46440
CliMA,hybrid,1,43,0.01111111111,4.83,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),2,4,8,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.17E-03,3.12E+02,0.01111111111,516,46440
CliMA,hybrid,1,43,0.01111111111,8.99,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),4,4,16,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.09E-03,2.90E+02,0.01111111111,516,46440
CliMA,hybrid,1,43,0.01111111111,15.7,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),8,4,32,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,9.51E-04,2.53E+02,0.01111111111,516,46440
CliMA,hybrid,1,43,0.01111111111,23.2,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),16,4,64,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,7.03E-04,1.87E+02,0.01111111111,516,46440
CliMA,hybrid,1,43,0.01111111111,28.9,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),32,4,128,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,4.38E-04,1.17E+02,0.01111111111,516,46440
